code	unitType	jobType	level	attack	defense	hp	speed	range
101	PLAYER	WARRIOR	1	1	0	5	3	1
102	PLAYER	WARRIOR	2	2	0	5	3	1
103	PLAYER	WARRIOR	3	2	0	10	3	1
104	PLAYER	WARRIOR	4	3	0	15	3	1
105	PLAYER	WARRIOR	5	3	0	15	3	1
106	PLAYER	WARRIOR	6	3	0	20	3	1
107	PLAYER	WARRIOR	7	4	0	20	3	1
108	PLAYER	WARRIOR	8	4	0	20	3	1
109	PLAYER	WARRIOR	9	4	0	20	3	1
201	PLAYER	HEALER	1	1	0	5	3	1
202	PLAYER	HEALER	2	2	0	5	3	1
203	PLAYER	HEALER	3	2	0	10	3	1
204	PLAYER	HEALER	4	3	0	15	3	1
205	PLAYER	HEALER	5	3	0	15	3	1
206	PLAYER	HEALER	6	3	0	20	3	1
207	PLAYER	HEALER	7	4	0	20	3	1
208	PLAYER	HEALER	8	4	0	20	3	1
209	PLAYER	HEALER	9	4	0	20	3	1
301	PLAYER	TANKER	1	1	0	5	3	1
302	PLAYER	TANKER	2	2	0	5	3	1
303	PLAYER	TANKER	3	2	0	10	3	1
304	PLAYER	TANKER	4	3	0	15	3	1
305	PLAYER	TANKER	5	3	0	15	3	1
306	PLAYER	TANKER	6	3	0	20	3	1
307	PLAYER	TANKER	7	4	0	20	3	1
308	PLAYER	TANKER	8	4	0	20	3	1
309	PLAYER	TANKER	9	4	0	20	3	1
401	PLAYER	ARCHER	1	1	0	5	3	1
402	PLAYER	ARCHER	2	2	0	5	3	1
403	PLAYER	ARCHER	3	2	0	10	3	1
404	PLAYER	ARCHER	4	3	0	15	3	1
405	PLAYER	ARCHER	5	3	0	15	3	1
406	PLAYER	ARCHER	6	3	0	20	3	1
407	PLAYER	ARCHER	7	4	0	20	3	1
408	PLAYER	ARCHER	8	4	0	20	3	1
409	PLAYER	ARCHER	9	4	0	20	3	1
501	PLAYER	MAGICIAN	1	1	0	5	3	1
502	PLAYER	MAGICIAN	2	2	0	5	3	1
503	PLAYER	MAGICIAN	3	2	0	10	3	1
504	PLAYER	MAGICIAN	4	3	0	15	3	1
505	PLAYER	MAGICIAN	5	3	0	15	3	1
506	PLAYER	MAGICIAN	6	3	0	20	3	1
507	PLAYER	MAGICIAN	7	4	0	20	3	1
508	PLAYER	MAGICIAN	8	4	0	20	3	1
509	PLAYER	MAGICIAN	9	4	0	20	3	1
601	PLAYER	KNIGHT	1	1	0	5	3	1
602	PLAYER	KNIGHT	2	2	0	5	3	1
603	PLAYER	KNIGHT	3	2	0	10	3	1
604	PLAYER	KNIGHT	4	3	0	15	3	1
605	PLAYER	KNIGHT	5	3	0	15	3	1
606	PLAYER	KNIGHT	6	3	0	20	3	1
607	PLAYER	KNIGHT	7	4	0	20	3	1
608	PLAYER	KNIGHT	8	4	0	20	3	1
609	PLAYER	KNIGHT	9	4	0	20	3	1
